dateRep,Africa,America,Asia,Europe,Oceania,Other
2019-12-31,0,0,27,0,0,0
2020-01-01,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0
2020-01-03,0,0,17,0,0,0
2020-01-04,0,0,0,0,0,0
2020-01-05,0,0,15,0,0,0
2020-01-06,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0
2020-01-13,0,0,1,0,0,0
2020-01-14,0,1,0,0,0,0
2020-01-15,0,0,1,0,0,0
2020-01-16,0,0,0,0,0,0
2020-01-17,0,0,5,0,0,0
2020-01-18,0,0,17,0,0,0
2020-01-19,0,0,136,0,0,0
2020-01-20,0,0,20,0,0,0
2020-01-21,0,1,152,0,0,0
2020-01-22,0,0,142,0,0,0
2020-01-23,0,0,97,0,0,0
2020-01-24,0,0,266,0,0,0
2020-01-25,0,1,448,3,1,0
2020-01-26,0,1,669,0,3,0
2020-01-27,0,3,794,0,0,0
2020-01-28,0,1,1765,1,0,0
2020-01-29,0,1,1475,4,0,0
2020-01-30,0,1,1752,2,2,0
2020-01-31,0,1,1994,5,1,0
2020-02-01,0,2,2110,7,2,0
2020-02-02,0,1,2604,1,2,0
2020-02-03,0,3,2814,1,0,0
2020-02-04,0,0,3240,3,0,0
2020-02-05,0,1,3895,2,1,10
2020-02-06,0,1,3739,0,1,10
2020-02-07,0,2,3172,2,1,41
2020-02-08,0,0,3433,6,0,3
2020-02-09,0,0,2618,0,0,0
2020-02-10,0,0,2981,5,0,6
2020-02-11,0,2,2495,1,0,65
2020-02-12,0,0,2031,2,0,39
2020-02-13,0,1,15149,1,0,0
2020-02-14,0,1,4166,0,1,47
2020-02-15,1,1,2558,0,0,0
2020-02-16,0,0,2028,0,0,134
2020-02-17,0,0,2066,1,0,0
2020-02-18,0,0,1896,0,0,99
2020-02-19,0,0,1776,0,0,88
2020-02-20,0,0,453,0,0,79
2020-02-21,0,2,979,0,2,13
2020-02-22,0,19,1048,14,4,0
2020-02-23,0,1,945,63,1,0
2020-02-24,0,0,413,53,0,57
2020-02-25,0,22,675,98,0,0
2020-02-26,1,1,756,109,0,0
2020-02-27,0,7,985,107,1,14
2020-02-28,1,8,920,341,1,0
2020-02-29,0,11,1525,322,2,0
2020-03-01,2,10,1401,429,1,0
2020-03-02,1,30,1326,708,3,0
2020-03-03,3,20,1273,558,4,0
2020-03-04,2,30,1514,760,9,0
2020-03-05,9,46,1253,1037,12,0
2020-03-06,9,98,1348,1597,8,0
2020-03-07,14,127,1959,2015,5,0
2020-03-08,1,104,1622,2242,11,0
2020-03-09,39,161,1164,2807,6,0
2020-03-10,12,233,913,3651,20,-9
2020-03-11,10,336,1335,3424,12,0
2020-03-12,13,386,1623,5886,14,0
2020-03-13,41,492,1369,7543,30,0
2020-03-14,43,704,1813,7862,42,0
2020-03-15,37,1004,1791,9305,54,0
2020-03-16,85,1098,1928,9329,49,0
2020-03-17,78,1329,1757,10997,77,0
2020-03-18,92,2276,1865,12770,91,0
2020-03-19,139,3625,1965,14435,125,0
2020-03-20,111,5712,2214,23002,165,0
2020-03-21,231,6461,2211,22886,196,0
2020-03-22,201,8348,2663,22779,243,0
2020-03-23,213,9745,2402,21248,662,0
2020-03-24,349,12580,2903,28564,164,0
2020-03-25,465,10329,3689,27406,655,0
2020-03-26,487,16831,4022,32026,459,0
2020-03-27,588,18956,4116,36988,461,0
2020-03-28,526,21199,4884,38291,292,0
2020-03-29,320,22467,5598,33963,499,0
2020-03-30,505,20818,5363,30321,362,0
2020-03-31,508,24445,5760,33442,567,0
2020-04-01,489,28876,5002,40316,164,0
2020-04-02,622,31511,6326,38822,355,0
2020-04-03,635,33266,6130,37312,304,0
2020-04-04,625,36684,3616,40688,390,0
2020-04-05,932,38511,8957,36680,194,0
2020-04-06,735,29865,6926,28620,116,0
2020-04-07,627,34466,6212,31867,134,0
2020-04-08,722,35696,5868,34907,155,0
2020-04-09,922,40800,5405,37834,130,0
2020-04-10,834,40637,6120,39692,126,0
2020-04-11,672,43579,6164,39106,109,0
2020-04-12,714,33570,7163,33841,68,0
2020-04-13,856,32508,6610,28497,50,0
2020-04-14,769,29461,7555,27419,55,0
2020-04-15,990,34965,7001,33960,59,0
2020-04-16,962,38123,7003,32683,48,0
2020-04-17,1086,39247,8050,35998,47,0
2020-04-18,1568,39750,7800,33108,46,0
2020-04-19,1160,40898,8389,29189,57,0
2020-04-20,1246,31943,8229,29056,33,0
2020-04-21,964,36221,9385,28079,17,0
2020-04-22,1350,45581,8528,31823,28,0
2020-04-23,1069,26665,8279,30582,9,0
2020-04-24,1535,37049,10277,29910,18,0
2020-04-25,1854,30537,9822,30912,24,0
2020-04-26,1241,62102,9451,27034,20,0
2020-04-27,1432,47968,8965,23455,12,0
2020-04-28,1414,33670,8866,22814,17,0
2020-04-29,1770,38070,9193,23776,16,0
2020-04-30,1803,41714,9767,26212,11,0
2020-05-01,2115,46273,10239,27027,20,0
2020-05-02,1907,50738,11025,24853,7,0
2020-05-03,2019,43725,10014,24861,20,0
2020-05-04,1659,41664,10855,22819,20,0
2020-05-05,2687,39059,12704,23133,24,0
2020-05-06,2086,40879,12199,24367,27,0
2020-05-07,2469,42146,13833,29824,30,0
2020-05-08,2429,49874,13515,26976,23,0
2020-05-09,3730,46351,13874,25722,19,0
2020-05-10,2801,45604,14364,25636,18,0
2020-05-11,2754,35752,15640,20374,15,0
2020-05-12,3119,32294,14193,21750,11,0
2020-05-13,2994,43259,16550,24299,16,0
2020-05-14,3029,45452,16255,22755,11,0
2020-05-15,3146,54245,16689,23083,17,0
2020-05-16,2753,55067,18090,22296,30,0
2020-05-17,3003,52095,17816,20033,20,0
2020-05-18,3381,38080,19337,18242,9,0
2020-05-19,3269,47941,19198,17530,19,0
2020-05-20,3280,53286,20066,19742,8,0
2020-05-21,3620,59963,21399,19968,23,0
2020-05-22,4870,60875,22877,20146,3,0
2020-05-23,3857,61335,22501,19104,14,0
2020-05-24,4439,52855,23177,18463,12,0
2020-05-25,3758,51233,21716,15542,3,0
2020-05-26,3855,49470,20632,16984,9,0
2020-05-27,3917,53981,19491,17234,18,0
2020-05-28,4851,59876,21248,17833,8,0
2020-05-29,4749,68489,24697,21380,13,0
2020-05-30,5868,71958,26864,18475,23,0
2020-05-31,6473,76859,26259,18160,13,0
2020-06-01,5374,57084,27267,15889,12,0
2020-06-02,5489,54444,26918,15911,10,0
2020-06-03,4965,63397,29115,15717,20,0
2020-06-04,4725,73106,31136,17536,11,0
2020-06-05,7648,70967,30386,18340,13,0
2020-06-06,7386,76235,31713,18511,11,0
2020-06-07,6418,69275,31876,17813,5,0
2020-06-08,5971,59887,31940,15864,5,0
2020-06-09,6972,53935,31217,16621,7,0
2020-06-10,6572,70713,32580,16903,5,0
2020-06-11,6481,77084,34248,17839,11,0
2020-06-12,7247,75460,35393,18619,9,0
2020-06-13,8620,79667,37787,18904,8,0
2020-06-14,8333,69407,36694,18524,12,0
2020-06-15,9302,57970,35333,16993,18,0
2020-06-16,8152,62667,34212,16547,18,0
2020-06-17,7460,81650,36339,17788,14,0
2020-06-18,8505,111912,38612,18966,28,0
2020-06-19,8379,72752,39367,18282,29,0
2020-06-20,10027,112668,40326,18314,20,0
2020-06-21,10905,90957,39661,17562,51,0
2020-06-22,9514,64221,37327,15195,28,0
2020-06-23,9194,73451,38138,15693,18,0
2020-06-24,9131,98335,39534,17157,20,0
2020-06-25,10724,104664,42120,18278,38,0
2020-06-26,12663,107436,41372,17341,55,0
2020-06-27,11299,115845,43729,18783,42,0
2020-06-28,12370,109030,43977,15820,50,0
2020-06-29,11282,88849,44181,14706,52,0
2020-06-30,10714,93140,41990,15886,85,0
2020-07-01,11632,102705,63572,15812,77,0
2020-07-02,13238,126279,46382,16237,101,0
2020-07-03,14386,128921,48845,16645,88,0
2020-07-04,14812,124911,50073,15747,256,0
2020-07-05,15909,105193,51655,14906,110,0
2020-07-06,14650,99194,47752,14853,100,0
2020-07-07,14699,96515,51099,14707,143,0
2020-07-08,16233,129870,47708,14529,170,0
2020-07-09,14543,130998,53833,16397,142,0
2020-07-10,18766,135868,53747,16403,176,0
2020-07-11,17554,143695,54191,15977,303,0
2020-07-12,18694,128167,53393,15268,197,0
2020-07-13,17001,107713,54183,15047,249,0
2020-07-14,16245,106944,53641,15539,184,0
2020-07-15,14920,141315,53646,14895,278,0
2020-07-16,18174,139783,58742,17343,246,0
2020-07-17,19773,158247,60839,16975,317,0
2020-07-18,19293,142288,70744,16072,431,0
2020-07-19,19149,128361,64848,14452,209,0
2020-07-20,18764,113774,63148,17575,368,0
2020-07-21,15497,110963,61329,16567,279,0
2020-07-22,12997,147946,64063,16161,371,0
2020-07-23,19574,172314,71913,19615,473,0
2020-07-24,19898,161299,74858,19370,417,0
2020-07-25,20650,172457,73778,17114,290,0
2020-07-26,18379,149869,73339,15049,364,0
2020-07-27,18804,117951,72245,19845,485,0
2020-07-28,13171,111683,70955,19007,536,0
2020-07-29,13142,139519,74240,17436,374,0
2020-07-30,18125,183371,77887,20305,284,0
2020-07-31,17619,168501,81802,21571,732,0
2020-08-01,17186,161293,80021,18166,607,0
2020-08-02,18914,144232,82904,15567,402,0
2020-08-03,11995,108821,77127,22297,672,0
2020-08-04,11366,97792,74062,23699,403,0
2020-08-05,9548,146562,80289,19987,430,0
2020-08-06,15661,153945,83733,23747,762,0
2020-08-07,14678,158312,89379,23154,443,0
2020-08-08,13318,153422,88174,20491,437,0
2020-08-09,13866,144853,89950,16608,427,0
2020-08-10,12554,107305,82934,24292,418,0
2020-08-11,8828,108030,80088,23910,331,0
2020-08-12,7895,144804,86745,21782,402,0
2020-08-13,9529,157910,92824,28969,493,0
2020-08-14,10580,156969,90418,27269,285,0
2020-08-15,12689,161367,94311,20665,434,0
2020-08-16,11639,133793,90129,20450,319,0
2020-08-17,9598,106332,78192,35756,383,0
2020-08-18,9017,89149,79509,21573,376,0
2020-08-19,7848,134009,91248,24742,216,0
2020-08-20,11420,144202,94486,30285,258,0
2020-08-21,10749,132138,98553,32648,361,0
2020-08-22,10122,123873,94918,25159,244,0
2020-08-23,10008,136275,94794,21987,251,0
2020-08-24,9444,94224,79067,41250,258,0
2020-08-25,7765,93881,84793,26451,272,0
2020-08-26,7877,127090,90725,30638,237,0
2020-08-27,8870,131843,101769,35433,338,0
2020-08-28,8513,137211,104178,33479,246,0
2020-08-29,7962,137844,102392,28487,292,0
2020-08-30,8631,130236,102551,24456,167,0
2020-08-31,8380,87006,100348,47359,132,0
2020-09-01,6881,114600,94106,29689,245,0
2020-09-02,7519,127774,101424,32104,179,0
2020-09-03,8247,129444,108920,38238,140,0
2020-09-04,7716,122248,109455,40382,249,0
2020-09-05,8359,146019,107395,32963,182,0
2020-09-06,7206,115479,119788,30804,159,0
2020-09-07,8030,70115,113428,54383,85,0
2020-09-08,7217,64223,101070,36374,119,0
2020-09-09,7253,80162,116342,41873,106,0
2020-09-10,8516,111001,123176,46244,226,0
2020-09-11,7969,121846,126451,49286,140,0
2020-09-12,8708,134262,124997,36546,167,0
2020-09-13,7547,114625,124194,37745,76,0
2020-09-14,6674,85283,119113,58802,46,0
2020-09-15,6339,85454,112357,41142,227,0
2020-09-16,6518,122491,122166,52286,119,0
2020-09-17,7490,101577,129077,51384,118,0
2020-09-18,8751,121251,127377,60643,169,0
2020-09-19,8116,134017,120899,48894,69,0
2020-09-20,9368,115082,122967,45887,168,0
2020-09-21,7831,88209,116734,71506,62,0
2020-09-22,6156,109384,104703,48623,67,0
2020-09-23,6779,110004,109921,55932,78,0
2020-09-24,8536,113718,125671,63474,83,0
2020-09-25,8275,120766,122513,69313,12,0
2020-09-26,7946,131386,112594,59603,72,0
2020-09-27,7322,112081,125646,54153,86,0
2020-09-28,7582,82579,111651,78047,25,0
2020-09-29,5848,83566,98472,50192,376,0
2020-09-30,7437,114059,110812,61551,75,0
2020-10-01,8390,115386,122450,69800,0,0
2020-10-02,7098,120998,120271,74529,284,0
2020-10-03,8852,127924,110539,71305,192,0
2020-10-04,8964,111204,108376,73271,163,0
2020-10-05,9281,73231,105706,92842,16,0
2020-10-06,4578,89235,93335,82791,337,0
2020-10-07,6729,126616,105874,87465,93,0
2020-10-08,10504,122709,114580,105760,73,0
2020-10-09,9758,128852,107046,117250,150,0
2020-10-10,11220,130668,102624,104262,484,0
2020-10-11,11839,116543,106070,114867,107,0
2020-10-12,7776,86549,94022,115685,25,0
2020-10-13,6333,86517,90313,101282,623,0
2020-10-14,9107,100068,96750,124663,139,0
2020-10-15,11383,125343,100710,150533,426,0
2020-10-16,8693,131739,96989,165020,178,0
2020-10-17,9586,140135,95877,151471,366,0
2020-10-18,14155,117538,92206,146499,86,0
2020-10-19,8295,90581,86442,176627,65,0
2020-10-20,9618,111039,76847,151103,93,0
2020-10-21,9724,126033,87241,171052,938,0
2020-10-22,10534,134502,92328,214717,162,0
2020-10-23,10961,142348,90453,228134,608,0
2020-10-24,10409,163098,89610,224844,812,0
2020-10-25,11864,151430,82192,214032,92,0
2020-10-26,8931,107325,77656,244983,35,0
2020-10-27,10808,122084,66554,216279,190,0
2020-10-28,8671,145162,79359,245430,750,0
2020-10-29,11949,148901,86070,266487,54,0
2020-10-30,14758,159001,86129,287424,788,0
2020-10-31,11506,168863,83868,277687,235,0
2020-11-01,10580,137950,80265,229181,23,0
2020-11-02,9573,122885,80133,274628,13,0
2020-11-03,6846,127560,76627,259450,12,0
2020-11-04,11048,141388,85660,265372,1526,0
2020-11-05,14179,163312,89345,302646,408,0
2020-11-06,15255,185980,88531,322167,454,0
2020-11-07,11959,195968,92312,305188,590,0
2020-11-08,14972,179060,84897,314090,254,0
2020-11-09,12552,153743,85500,276910,132,0
2020-11-10,8581,179789,78356,235548,13,0
2020-11-11,13110,210745,86975,254982,1122,0
2020-11-12,12847,232233,92299,285728,404,0
2020-11-13,17167,230810,89774,309293,456,0
2020-11-14,14266,256806,89410,275091,252,0
2020-11-15,13401,242005,84661,254128,273,0
2020-11-16,13350,177041,69853,254122,172,0
2020-11-17,9992,213704,73795,224547,32,0
2020-11-18,13290,221192,84480,264902,540,0
2020-11-19,15091,240138,94577,272725,603,0
2020-11-20,14012,261706,81821,282632,81,0
2020-11-21,15679,273839,107551,281899,278,0
2020-11-22,13574,244742,90061,223616,286,0
2020-11-23,8797,213218,89382,206846,17,0
2020-11-24,13238,225357,85765,209942,68,0
2020-11-25,13101,241100,78272,229442,444,0
2020-11-26,14451,277712,107857,247604,257,0
2020-11-27,13312,188688,92038,277445,344,0
2020-11-28,16521,279377,89333,263998,144,0
2020-11-29,13324,261560,86417,234243,224,0
2020-11-30,13500,196761,90091,216198,66,0
2020-12-01,9864,218356,78947,194721,49,0
2020-12-02,12704,271916,83119,223726,336,0
2020-12-03,15408,299768,86030,256272,239,0
2020-12-04,13893,313158,89352,264508,198,0
2020-12-05,17358,325436,82635,257715,219,0
2020-12-06,16702,301391,80499,235422,262,0
2020-12-07,13068,236855,79723,216714,13,0
2020-12-08,10780,252880,71121,191410,30,0
2020-12-09,14316,298869,75541,237363,266,0
2020-12-10,18892,325238,76203,255762,19,0
2020-12-11,19111,325486,75131,273397,227,0
2020-12-12,18909,339515,71851,226696,169,0
2020-12-13,18517,304854,72723,230310,17,0
2020-12-14,16142,250922,64995,208571,29,0
